region_id,la,region,acc,name,address,contact,email,or,rate,perf,no,,perf_model
1,,I,01-0001-2224-LW-I,DAGUPAN CITY WATER DISTRICT LABORATORY,"New Administrative Bldg. Tambac District, Dagupan City, Pangasinan",09178270240 /09178058893 (075) 653-2588,dcwdlaboratory@yahoo.com,5029874,1,HIGHLY SATISFACTORY,WMTL-PT-22-01001,,HS
1,,I,01-002-2123-LW-I,DEPARTMENT OF SCIENCE AND TECHNOLOGY REGIONAL OFFICE 1,"DMMSU-MLU Campus, P.O. Box 117, San Fernando, La Union",09291978906/ (072) 888-3399,rstl@region1.dost.gov.ph,5039938,1,HIGHLY SATISFACTORY,WMTL-PT-22-01002,,HS
1,,I,01-006-1820-LW-2,"PANGASINAN SAFE WATER LABORATORY, INC.","375 DMM, Village, Brgy. Tobor, Malasiqui, Pangasinan",9070505132,pangasinansafewaterlabinc@gmail.com,5008977,2,ACCEPTABLE,WMTL-PT-22-01003,,A
1,,I,01-001-2022-LW-1,PROVINCIAL WATER BACTERIOLOGICAL LABORATORY,"Solis Street, Poblacion, Lingayen, Pangasinan",0995-7568832 / 075-542-2295,will_deguzman@yahoo.com,5067624,0,EXCELLENT,WMTL-PT-22-01004,,E
1,,I,01-0002-2224-LW-2,SANDUGO MULTI-PURPOSE COOPERATIVE,"40 Crystal Dew Compound National Highway, Buyon, Bacarra, Ilocos Norte",09499043389 / 637-76760691,lab@crystaldewddw.com,5006058,1,HIGHLY SATISFACTORY,WMTL-PT-22-01005,,HS
1,,I,01-0104-22-H3-1,REGION 1 MEDICAL CENTER," Arellano St. Dagupan City, Pangasinan",9239636343,region1mclab@gmail.com,5070566,0,EXCELLENT,WMTL-PT-22-01006,,E
1,,I,01-002-2022-LW-1,ILOCOS NORTE WATER DISTRICT - WATER TESTING LABORATORY,"Andres Bonifacio St. Laoag City, Ilocos Norte",09985903569 / 077-7720985,lab.primewaterilocosnorte@gmail.com,5073243,1,HIGHLY SATISFACTORY,WMTL-PT-22-01007,,HS
1,,I,01-0003-2123-LW-2,TAGUDIN MEDICAL DIAGNOSTIC CENTER,"Tagudin, Ilocos Sur",9262306713,asapTMDC2009@gmail.com,5076331,2,ACCEPTABLE,WMTL-PT-22-01008,,A
15,,CAR,14-001-2022-LW-1,DOST-CAR REGIONAL STANDARDS TESTING LABORATORY,"KM 6, BSU Compound, La Trinidad City, Benguet",09664692205 / (074) 422-2214,rstlcar@gmail.com,5073235,0,EXCELLENT,WMTL-PT-22-CAR009,,E
15,,CAR,14-0036-22-CL-1,HEALTH SERVICES OFFICE - PUBLIC HEALTH LABORATORY,"Health Services Office Bldg., T. Alonzo St. Baguio City, Benguet",442-6018,mycoleprae00@gmail.com,5076324,0,EXCELLENT,WMTL-PT-22-CAR010,,E
2,,II,03-02-292-14-500-H3-1,CAGAYAN VALLEY MEDICAL CENTER - WATER BACTERIOLOGY,"Dalan na Pagayaya, Regional Government Center, Carig Sur, Tuguegarao City, Cagayan",0917-8564911/ (078) 302 0000 loc. 160,cvmclaboratory@yahoo.com,5012425,0,EXCELLENT,WMTL-PT-22-02011,,E
2,,II,02-001-20-LW-1,CAUAYAN CITY WATER DISTRICT,"Consolacion Nisperos St. Cabaruan, Cauayan city, Isabela",09178259435 / (078)- 652-5237,ccwd_88@yahoo.com/ ayen_092987@yahoo.com,5060467,1,HIGHLY SATISFACTORY,WMTL-PT-22-02012,,HS
2,,II,02-016-19-HI-1,GOV. FAUSTINO N. DY SR. MEMORIAL HOSPITAL WATER LABORATORY,"Calamagui 2nd City of Ilagan, Isabela",0977-3075440 / 624-0036,ajpagalilauan@gmail.com,5097544,1,HIGHLY SATISFACTORY,WMTL-PT-22-02013,,HS
2,,II,02-002-20-LW-1,METROPOLITAN TUGUEGARAO WATER DISTRICT WATER LABORATORY,"Main Avenue, San Gabriel, Tuguegarao City, Cagayan",0955-4227003 / (078) 844-1586 / 7309,mtwd_1978@yahoo.com,5038049,1,HIGHLY SATISFACTORY,WMTL-PT-22-02014,,HS
