NUMBER,ACCREDITATION NUMBER,REGION,NAME OF FACILITY,ADDRESS (Street/Barangay),TOWN/CITY,CONTACT NO.,HOL NAME (Head Of Laboratory),EMAIL,LABORATORY EMAIL,O.R. Number,"INCORRECT
METH","INCORRECT
THC","INCORRECT 
TOTAL","RESULT: 
WITH OR WITHOUT CONCERN",RESULT: REMARKS,"REMARKS:
PASSED / FAILED",SCORE,CERTIFICATE NO. ,
17,13-0770-21-PIBS-R,13,A. ZARATE GENERAL HOSPITAL,"ATLAS COMPOUND NAGA ROAD PULANG LUPA 1, LAS PIÑAS CITY",LAS PINAS CITY,8 8746904,"ALBERT ZARATE, MD, RN",azarategeneralhospitallab@gmail.com,azarategeneralhospitallab@gmail.com,5003955,1,5,6,WITHOUT CONCERN,,PASSED,Acceptable,SDTL-PT-22-130001,A
17,13-0002-21-PIBS-R,13,ADVANCED LAB SOLUTIONS BY HI-PRECISION - CENTURIA,"9TH FLOOR, CENTURIA MEDICAL MAKATI BLDG., LOT 9 KALAYAAN AVE., COR. SALAMANCA ST. BRGY. POBLACION, MAKATI CITY",MAKATI CITY,09178621152/8-793-8623/09338182036,"MARIA LOURDES EVANGELISTA PINEDA-SANTOS, MD",hpcenturia.lab@hi-precision.com.ph,hpcenturia.lab@hi-precision.com.ph,5058443,0,5,5,WITHOUT CONCERN,,PASSED,Highly Satisfactory,SDTL-PT-22-130002,HS
17,13-0003-21-GIBS-R,13,AFP HEALTH SERVICE COMMAND,"V.LUNA HOSPITAL, QUEZON CITY",QUEZON CITY,+63 2 8246 2111,HERBERT GUILLERMO PASCUAL,laboratory.vlmc@gmail.com,laboratory.vlmc@gmail.com,5005306,1,3,4,WITHOUT CONCERN,,PASSED,Highly Satisfactory,SDTL-PT-22-130003,HS
17,13-1407-21-GIBS-R,13,AIR FORCE GENERAL HOSPITAL,"AIR FORCE GENERAL HOSPITAL, COLONEL JESUS VILLAMOR AIR BASE BRGY 183, PASAY CITY",PASAY,88546701 local 4632,WILFREDO F. SEVILLA,pafdtctfj@gmail.com,pafdtctfj@gmail.com,5003442,1,5,6,WITHOUT CONCERN,,PASSED,Acceptable,SDTL-PT-22-130004,A
17,13-1230-21-PFSS-R,13,AJV DRUG TESTING LABORATORY,"GROUND FLOOR CENTENO BLDG. C. SANTOA ST., MALINTA, VALENZUELA",VALENZUELA,09178300005; 09989563454,"AVELINO ALOMESEN, MD",ajvdrugtestlab@gmail.com,ajvdrugtestlab@gmail.com,50160623,1,5,6,WITHOUT CONCERN,,PASSED,Acceptable,SDTL-PT-22-130005,A
17,13-1352-19-PIBS-R,13,ALFONSO SPECIALIST HOSPITAL,"185 DR. SIXTO ANTONIO AVE., ROSARIO, PASIG CITY",Pasig,09151805303 / 85711285,"SUSANA PINILI-QUIAOIT, MD, FPSP",Alfonsolaboratoryresult2018@gmail.com,Alfonsolaboratoryresult2018@gmail.com,5033282,0,5,5,WITHOUT CONCERN,,PASSED,Highly Satisfactory,SDTL-PT-22-130006,HS
17,13-1227-21-PIBS-R,13,ALLIED CARE EXPERTS MEDICAL CENTER - VALENZUELA CITY,"#548 MC ARTHUR HIGHWAY, MALANDAY, VALENZUELA CITY",VALENZUELA CITY,366-0000 LOC. 108-110/09178442709,MINNIE JANE A. PINEDA,acemcvdlm2014@gmail.com,acemcvdlm2014@gmail.com,5002949,1,5,6,WITHOUT CONCERN,,PASSED,Acceptable,SDTL-PT-22-130007,A
17,13-0397-21-PFSS-R,13,ALLIED DRUG TESTING CENTER,"RM 310 PRINA BLDG EAST AVE. COR MAGALANG , QUEZON CITY",QUEZON CITY,79465881,JOHN V. LORIA,allieddrugtetsingcenter@yahoo.com,allieddrugtetsingcenter@yahoo.com,5003234,3,3,6,WITHOUT CONCERN,,PASSED,Acceptable,SDTL-PT-22-130008,A
17,13-XXXX-XX-XXXX-X,13,ALPHA-STAR LABORATORY DIAGNOSTIC & MULTI SPECIALTY CLINIC," C 128 ROMAROSA BLDG., LUZON AVE, QUEZON CITY",QUEZON CITY,9320966,"GABRIEL J. CRUZ, MD",alphastarlabclinic@gmail.m,alphastarlabclinic@gmail.m,5019468,0,5,5,WITHOUT CONCERN,,PASSED,Highly Satisfactory,SDTL-PT-22-130009,HS
17,13-0874-20-PIBS-R,13,AMBULATORY HEALTH CARE INSTITUTE INC.,"2ND FLOOR BLDG. A, SM MEGAMALL, DOÑA JULIA VARGAS AVE. ORTIGAS CENTER, BARANGAY WACK-WACK GREENHILLS, MANDALUYONG CITY",MANDALUYONG ,9088695310,RODOLFO E. JOSON M.D,laboratory0101@gmail.com,laboratory0101@gmail.com,5003278,0,1,1,WITHOUT CONCERN,,PASSED,Excellent,SDTL-PT-22-130010,E
