region_id,la,region,acc,name,address,contact,email,lab_email,hol,or,rate,perf,no,,perf_model
15,LA TRINIDAD,CAR,14-0002-2224-LW-1,BENGUET PROVINCIAL WATER ANALYSIS LABORATORY,"BCGH COMPOUND, KM5, LA TRINIDAD, BENGUET",09124664914 / 074-422-2895,phobenguet@yahoo.com.ph,phobenguet@yahoo.com.ph,"DE JOYA, VIRGINIA VILLALON ",5369618,0,EXCELLENT,WMTL-PT-24-CAR01,,E
15,LA TRINIDAD,CAR,14-0002-2224-LW-1,DOST- CAR REGIONAL STANDARDS TESTING LABORATORY ,"KM 6, BSU COMPOUND LA TRINIDAD BENGUET ",09664692205 / 09082338955,rstlcr@gmail.com,rstlcr@gmail.com,"PICPICAN, PEPITA SAONG",5399473,2,ACCEPTABLE,WMTL-PT-24-CAR02,,A
15,BAGUIO CITY,CAR,14-0039-24-CL-1,HEALTH SERVICES OFFICE - PUBLIC HEALTH LABORATORY,"00 T. ALONZO ST., BAGUIO CITY, BENGUET",09998060853 / (074) 442-6018,mycoleprae00@gmail.com,mycoleprae00@gmail.com,CELIA FLOR C. BRILLANTES,5416399,2,ACCEPTABLE,WMTL-PT-24-CAR03,,A
1,DAGUPAN CITY ,I,01-0001-2224-LW-1,DAGUPAN CITY WATER DISTRICT LABORATORY ,"NEW ADMINISTRATIVE BLDG, TAMBAC DIST. DAGUPAN CITY, PANGASINAN",09366772156 / 09178058893,rickynsison@gmail.com,rickynsison@gmail.com,"SISON, RICKY NAVARETTE",5346124,0,EXCELLENT,WMTL-PT-24-01004,,E
1,SAN FERNANDO,I,01-0002-2426-LW-1,DOST- REGIONAL 1 - REGIONAL STANDARDS AND TESTING LABORATORY ,"BRGY., CATBANGEN SAN FERNANDO LA UNION ",09291978906 / 09952757513,rstl@region1.dost.gov.ph,rstl@region1.dost.gov.ph,"ROSARIO, LENA CAMAYA ",5385549,0,EXCELLENT,WMTL-PT-24-01005,,E
1,LAOAG CITY,I,01-0002-2325--LW-1,ILOCOS NORTE WATER DISTRICT - WATER TESTING LABORATORY,"ANDRES BONIFACIO ST., LAOAG CITY, ILOCOS NORTE",09985903569 / 077-7720985,lab.primewaterilocosnorte@gmail.com,lab.primewaterilocosnorte@gmail.com,JENY A. BARRIO,5418119,1,HIGHLY SATISFACTORY,WMTL-PT-24-01006,,HS
1,SAN FERNANDO,I ,01-0358-21-H3-1,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER ,"MCARTHUR HIGHWAY, BRGY. PARIAN CITY OF SAN FERNANDO LA UNION",09175682345 / 6076418 LOC 244,itrmc.laboratory@gmail.com,itrmc.laboratory@gmail.com,"ROSUMAN, BRENDA ILAR ",5370499,0,EXCELLENT,WMTL-PT-24-01007,,E
1,MALASIQUI,I,01-003-2426-LW-2,PANGASINAN SAFE WATER LABORATORY INC. ,"375 DMM VILLAGE, BRGY. TOBOR MALASIQUI PANGASINAN",9070505132,pangasinansafewaterlabinc@gmail.com,pangasinansafewaterlabinc@gmail.com,"VILORIA, JAYLORD PASCUA ",5330086,1,HIGHLY SATISFACTORY,WMTL-PT-24-01008,,HS
1,LINGAYEN ,I,01-0001-2325-LW-1,PROVINCIAL WATER BACTERIOLOGICAL LABORATORY ,"SOLIS ST. LINGAYEN DISTRICT HOSPITAL COMPOUND, POBLACION LINGAYEN PANGASINAN",9957568832,saquino42@yahoo.com,saquino42@yahoo.com,"AQUINO, SHELDON STEVEN CADPA ",5388102,0,EXCELLENT,WMTL-PT-24-01009,,E
1,DAGUPAN CITY,I,DOH000273,REGION I MEDICAL CENTER,"ARELLANO STREET, DAGUPAN CITY, PANGASINAN",09065705277 / 09397641668 / (075)515-8916 LOC 145,region1mclab@gmail.com,region1mclab@gmail.com,SHELDON STEVEN C. AQUINO,5379008,0,EXCELLENT,WMTL-PT-24-01010,,E
